 ;Baden-Wuerttemberg;Bayern;Berlin;Brandenburg;Bremen;Hamburg;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Nordrhein-Westfalen;Rheinland-Pfalz;Saarland;Sachsen;Sachsen-Anhalt;Schleswig-Holstein;Thueringen
30.12.2019;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31.12.2019;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.01.2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.01.2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.01.2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.01.2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05.01.2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
06.01.2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.01.2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
08.01.2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
09.01.2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.01.2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11.01.2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.01.2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.01.2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14.01.2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15.01.2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.01.2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.01.2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18.01.2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.01.2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.01.2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.01.2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22.01.2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
23.01.2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24.01.2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25.01.2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
26.01.2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27.01.2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28.01.2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
29.01.2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
30.01.2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31.01.2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.02.2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.02.2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.02.2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.02.2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05.02.2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
06.02.2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.02.2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
08.02.2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
09.02.2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.02.2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11.02.2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.02.2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.02.2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14.02.2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15.02.2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.02.2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.02.2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18.02.2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.02.2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.02.2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.02.2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22.02.2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
23.02.2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24.02.2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25.02.2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
26.02.2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27.02.2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28.02.2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
29.02.2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.03.2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.03.2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.03.2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.03.2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05.03.2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
06.03.2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.03.2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
08.03.2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
09.03.2020;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
10.03.2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11.03.2020;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
12.03.2020;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.03.2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14.03.2020;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
15.03.2020;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.03.2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.03.2020;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
18.03.2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2020;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.03.2020;4;4;0;0;0;0;1;0;0;0;1;0;0;0;1;0
21.03.2020;6;7;1;0;0;0;1;0;0;0;0;0;0;0;0;0
22.03.2020;5;2;0;0;0;0;0;0;1;0;1;0;0;0;0;0
23.03.2020;0;5;0;0;0;0;1;0;3;22;0;0;0;0;0;0
24.03.2020;9;4;0;0;0;0;1;0;2;5;3;1;1;0;1;1
25.03.2020;7;7;1;1;0;0;0;0;1;10;0;0;5;1;1;0
26.03.2020;19;10;2;0;1;0;2;0;1;10;1;1;1;0;0;2
27.03.2020;14;8;4;0;0;2;1;0;2;19;2;0;0;1;1;1
28.03.2020;31;22;0;0;1;0;2;0;2;8;3;0;2;0;0;1
29.03.2020;0;30;1;0;0;2;0;1;9;18;1;0;0;0;2;0
30.03.2020;18;20;2;1;0;1;4;0;5;3;6;5;0;0;1;0
31.03.2020;46;35;2;0;2;4;4;0;8;16;1;0;3;4;2;1
01.04.2020;32;63;3;2;1;5;4;2;8;17;4;1;5;1;1;0
02.04.2020;44;43;3;3;1;0;6;0;3;27;3;3;1;1;1;1
03.04.2020;44;39;1;2;0;2;6;1;20;17;0;1;3;3;4;2
04.04.2020;31;42;2;3;0;0;9;1;20;22;3;2;3;0;2;1
05.04.2020;51;47;2;5;0;3;14;0;4;45;3;0;8;1;1;0
06.04.2020;20;41;2;2;2;0;5;1;3;10;0;0;2;0;2;2
07.04.2020;46;44;2;1;1;1;12;2;19;27;2;2;4;0;4;6
08.04.2020;31;83;4;2;1;3;11;3;10;66;11;7;12;4;4;2
09.04.2020;55;71;5;8;1;21;16;0;20;36;5;0;2;0;6;0
10.04.2020;51;68;5;7;2;9;11;0;20;62;1;13;7;2;4;4
11.04.2020;52;44;4;0;2;3;9;0;10;26;8;5;6;0;1;1
12.04.2020;27;39;4;1;0;0;3;0;18;23;5;2;2;3;2;0
13.04.2020;28;34;1;0;2;0;12;0;12;23;4;1;1;3;3;2
14.04.2020;34;52;5;2;3;3;12;0;10;27;2;8;2;1;5;4
15.04.2020;56;82;6;2;1;8;26;0;13;62;7;6;3;1;5;7
16.04.2020;35;95;12;12;0;13;14;2;24;56;10;13;21;0;1;7
17.04.2020;70;88;10;6;1;4;10;0;26;63;5;5;1;2;4;4
18.04.2020;47;61;7;2;2;6;15;1;7;65;7;10;8;1;2;1
19.04.2020;49;58;1;4;1;1;18;1;7;23;7;5;4;1;1;3
20.04.2020;14;30;2;0;0;0;10;0;3;43;1;0;2;0;5;0
21.04.2020;49;50;3;1;0;0;11;0;15;39;9;2;8;2;3;2
22.04.2020;32;88;8;7;1;0;14;0;22;68;6;4;5;1;9;6
23.04.2020;50;52;0;10;1;22;21;0;12;35;9;2;5;1;5;0
