Date;R
06.03.2020;2,34
07.03.2020;2,56
08.03.2020;2,93
09.03.2020;3,13
10.03.2020;3,22
11.03.2020;3,12
12.03.2020;2,84
13.03.2020;2,5
14.03.2020;2,18
15.03.2020;1,99
16.03.2020;1,74
17.03.2020;1,56
18.03.2020;1,39
19.03.2020;1,24
20.03.2020;1,13
21.03.2020;1,04
22.03.2020;0,98
23.03.2020;0,92
24.03.2020;0,9
25.03.2020;0,9
26.03.2020;0,88
27.03.2020;0,9
28.03.2020;0,9
29.03.2020;0,9
30.03.2020;0,92
31.03.2020;0,93
01.04.2020;0,93
02.04.2020;0,95
03.04.2020;0,93
04.04.2020;0,92
05.04.2020;0,89
06.04.2020;0,89
07.04.2020;0,87
08.04.2020;0,85
09.04.2020;0,83
10.04.2020;0,81
11.04.2020;0,81
12.04.2020;0,79
13.04.2020;0,79
14.04.2020;0,78
15.04.2020;0,76
16.04.2020;0,78
17.04.2020;0,8
18.04.2020;0,81
19.04.2020;0,84
20.04.2020;0,84
21.04.2020;0,82
22.04.2020;0,83
23.04.2020;0,81
24.04.2020;0,81
25.04.2020;0,83
26.04.2020;0,82
27.04.2020;0,82
28.04.2020;0,81
29.04.2020;0,81
30.04.2020;0,81
01.05.2020;0,82
02.05.2020;0,85
03.05.2020;0,86
04.05.2020;0,89
05.05.2020;0,9
06.05.2020;0,89
07.05.2020;0,9
08.05.2020;0,89
09.05.2020;0,87
10.05.2020;0,87
11.05.2020;0,85
12.05.2020;0,85
13.05.2020;0,85
14.05.2020;0,89
15.05.2020;0,92
16.05.2020;0,93
17.05.2020;0,96
18.05.2020;0,92
19.05.2020;0,92
20.05.2020;0,91
21.05.2020;0,85
22.05.2020;0,83
23.05.2020;0,82
24.05.2020;0,81
25.05.2020;0,87
26.05.2020;0,89
27.05.2020;0,91
28.05.2020;0,94
29.05.2020;0,92
30.05.2020;0,92
31.05.2020;0,87
01.06.2020;0,89
02.06.2020;0,89
03.06.2020;0,91
04.06.2020;0,95
05.06.2020;0,96
06.06.2020;0,96
07.06.2020;1,01
08.06.2020;1,03
09.06.2020;1,04
10.06.2020;1,06
11.06.2020;1,05
12.06.2020;1,07
13.06.2020;1,11
14.06.2020;1,19
15.06.2020;1,43
16.06.2020;1,48
17.06.2020;1,47
18.06.2020;1,42
19.06.2020;1,19
20.06.2020;1,13
21.06.2020;1,04
22.06.2020;0,83
23.06.2020;0,76
24.06.2020;0,73
25.06.2020;0,73
26.06.2020;0,83
27.06.2020;0,87
28.06.2020;0,89
29.06.2020;0,93
30.06.2020;0,95
01.07.2020;0,94
02.07.2020;0,93
03.07.2020;0,9
04.07.2020;0,92
05.07.2020;0,92
06.07.2020;0,93
07.07.2020;0,93
08.07.2020;0,95
09.07.2020;1,01
10.07.2020;1,07
11.07.2020;1,12
12.07.2020;1,17
13.07.2020;1,19
14.07.2020;1,23
15.07.2020;1,23
16.07.2020;1,19
17.07.2020;1,17
18.07.2020;1,14
19.07.2020;1,16
20.07.2020;1,17
21.07.2020;1,19
22.07.2020;1,2
23.07.2020;1,19
24.07.2020;1,17
25.07.2020;1,14
26.07.2020;1,12
27.07.2020;1,09
28.07.2020;1,06
29.07.2020;1,06
30.07.2020;1,05
31.07.2020;1,08
01.08.2020;1,13
02.08.2020;1,17
03.08.2020;1,19
04.08.2020;1,19
05.08.2020;1,17
06.08.2020;1,17
07.08.2020;1,16
08.08.2020;1,13
09.08.2020;1,14
10.08.2020;1,14
11.08.2020;1,16
12.08.2020;1,18
13.08.2020;1,17
14.08.2020;1,15
15.08.2020;1,12
16.08.2020;1,07
17.08.2020;1,06
18.08.2020;1,03
19.08.2020;0,99
20.08.2020;0,97
21.08.2020;0,95
22.08.2020;0,95
23.08.2020;0,97
24.08.2020;0,98
25.08.2020;0,98
26.08.2020;0,98
27.08.2020;0,98
28.08.2020;0,98
29.08.2020;0,97
30.08.2020;0,96
31.08.2020;0,98
01.09.2020;1,01
02.09.2020;1,03
03.09.2020;1,06
04.09.2020;1,06
05.09.2020;1,08
06.09.2020;1,1
07.09.2020;1,09
08.09.2020;1,1
09.09.2020;1,11
10.09.2020;1,12
11.09.2020;1,15
12.09.2020;1,14
13.09.2020;1,15
14.09.2020;1,15
15.09.2020;1,14
16.09.2020;1,12
17.09.2020;1,07
18.09.2020;1,03
19.09.2020;1,01
20.09.2020;1,01
21.09.2020;1,02
22.09.2020;1,04
23.09.2020;1,06
24.09.2020;1,09
25.09.2020;1,11
26.09.2020;1,12
27.09.2020;1,12
28.09.2020;1,13
29.09.2020;1,15
30.09.2020;1,19
01.10.2020;1,23
02.10.2020;1,28
03.10.2020;1,31
04.10.2020;1,36
05.10.2020;1,38
06.10.2020;1,39
07.10.2020;1,38
08.10.2020;1,35
09.10.2020;1,32
10.10.2020;1,29
11.10.2020;1,3
12.10.2020;1,31
13.10.2020;1,34
14.10.2020;1,37
15.10.2020;1,38
16.10.2020;1,37
17.10.2020;1,38
18.10.2020;1,4
19.10.2020;1,42
20.10.2020;1,44
21.10.2020;1,43
22.10.2020;1,39
23.10.2020;1,34
24.10.2020;1,29
25.10.2020;1,26
26.10.2020;1,21
27.10.2020;1,17
28.10.2020;1,13
29.10.2020;1,09
30.10.2020;1,06
31.10.2020;1,04
01.11.2020;1,04
02.11.2020;1,03
03.11.2020;1,03
04.11.2020;1,02
05.11.2020;0,99
06.11.2020;0,98
07.11.2020;0,97
08.11.2020;0,96
09.11.2020;0,96
10.11.2020;0,97
11.11.2020;0,99
12.11.2020;1,02
13.11.2020;1,04
14.11.2020;1,05
15.11.2020;1,05
16.11.2020;1,04
17.11.2020;1,04
18.11.2020;1,02
19.11.2020;1
20.11.2020;0,98
21.11.2020;0,95
22.11.2020;0,94
23.11.2020;0,94
24.11.2020;0,94
25.11.2020;0,94
26.11.2020;0,96
27.11.2020;0,98
28.11.2020;1
29.11.2020;1,03
30.11.2020;1,07
01.12.2020;1,09
02.12.2020;1,12
03.12.2020;1,14
04.12.2020;1,15
05.12.2020;1,16
06.12.2020;1,16
07.12.2020;1,15
08.12.2020;1,15
09.12.2020;1,13
10.12.2020;1,11
11.12.2020;1,09
12.12.2020;1,07
13.12.2020;1,05
14.12.2020;1,04
15.12.2020;1,03
16.12.2020;1,01
17.12.2020;0,99
18.12.2020;0,97
19.12.2020;0,96
20.12.2020;0,94
21.12.2020;0,91
22.12.2020;0,88
23.12.2020;0,85
24.12.2020;0,83
25.12.2020;0,83
26.12.2020;0,86
27.12.2020;0,89
28.12.2020;0,93
29.12.2020;0,95
30.12.2020;0,95
31.12.2020;0,95
01.01.2021;0,97
02.01.2021;0,98
03.01.2021;0,99
04.01.2021;0,99
05.01.2021;1
06.01.2021;1,01
07.01.2021;1,02
08.01.2021;1
09.01.2021;0,96
10.01.2021;0,91
11.01.2021;0,88
12.01.2021;0,88
13.01.2021;0,88
14.01.2021;0,9
15.01.2021;0,92
16.01.2021;0,93
17.01.2021;0,94
18.01.2021;0,94
19.01.2021;0,94
20.01.2021;0,94
21.01.2021;0,93
22.01.2021;0,93
23.01.2021;0,92
24.01.2021;0,91
25.01.2021;0,9
26.01.2021;0,88
27.01.2021;0,88
28.01.2021;0,89
29.01.2021;0,89
30.01.2021;0,9
31.01.2021;0,89
01.02.2021;0,89
02.02.2021;0,9
03.02.2021;0,89
04.02.2021;0,89
05.02.2021;0,89
06.02.2021;0,89
07.02.2021;0,88
08.02.2021;0,88
09.02.2021;0,88
10.02.2021;0,89
11.02.2021;0,91
12.02.2021;0,94
13.02.2021;0,97
14.02.2021;0,99
15.02.2021;1,02
16.02.2021;1,03
17.02.2021;1,05
18.02.2021;1,06
19.02.2021;1,07
20.02.2021;1,06
21.02.2021;1,05
22.02.2021;1,04
23.02.2021;1,02
24.02.2021;1,01
25.02.2021;1,01
26.02.2021;1
27.02.2021;1
28.02.2021;1,01
